ID:English:Spanish
1:to shave:afeitarse
2:postman:el cartero
3:noisy:ruidoso
4:oath:el juramento
5:to neglect:descuidar
6:bracelet :la pulsera
7:mosque:la mezquita
8:sponge:la esponja
9:scruffy:desaliñado
10:honesty:la honradez
11:sender:el remitente
12:sweatshirt:la sudadera
13:receipt:el recibo
14:disappointing:decepcionante
15:jam:la mermelada
16:toilet :el inodoro
17:father-in-law:el suegro
18:inaccuracy:la inexactitud
19:finally :al fin
20:to give birth :parir
21:toilet bowl:la taza de baño
22:padlock:el candado
23:in spite of:a pesar de
24:pin:el alfiler
25:to harden:endurecer
26:to discount:rebajar
27:toast:el brindis
28:deliberately:adrede
29:to constrain:constreñir
30:trash can:el basurero
31:dusk :el crepúsculo
32:bush:el arbusto
33:traitor:el traidor
34:Christmas Eve :Nochebuena
35:office supply store:la papelería
36:driving licence:la licencia de conducir
37:lodging:el alojamiento
38:armchair :la butaca
39:horse riding:la equitación
40:wire:el alambre
41:zucchini:la calabacita
42:stand up to:desafiar
43:to kick:patear
44:misschief or prank:la travesura
45:herd or flock:el rebaño
46:Loft or attic:el desván
47:to get wet:mojarse
48:soap:el jabón
49:rubber:la goma
50:to jump:brincar
51:firewood:la leña
52:shoemaker:el zapatero
53:Cross-eyed:bizco
54:sense of smell:el olfato
55:funny :chistoso
56:Aware or well informed:enterado
57:itch:la picazón
58:overdose:la sobredosis
59:to run the risk:correr el riesgo
60:toilet paper:el papel higiénico
61:to ruin:estropear
62:excess or leftover:la sobra
63:hangover:la resaca
64:roasted:asado
65:damage:el perjuicio
66:trainee:el novato
67:windshield:el parabrisas
68:as soon as:tan pronto como
69:envelope:el sobre
70:impressive:imponente
71:footwear:el calzado
72:wrapped:envuelto
73:painkiller or sedative:el calmante
74:raising:la pasa
75:Nevertheless:sin embargo
76:loyal:leal
77:caution:la cautela
78:subsidiary:la filial
79:Son-in-law:el yerno
80:to throw out:botar
81:to reuse:reutilizar
82:basement:el sótano
83:to glimpse:vislumbrar
84:tweezers:las pinzas
85:fig:el higo
86:to rest or lie down:reposar
87:to get into or to meddle:meterse
88:egg white:la clara de huevo
89:swan:el cisne
90:light bulb:la bombilla eléctrica
91:to crave or long for:apetecer
92:rental car:el coche de alquiler
93:to bleed:sangrar
94:cloudy:nuboso
95:benefit:el provecho
96:cushion:el cojín
97:to lodge:alojarse
98:traffic jam:el atasco
99:skateboard:el monopatín
100:crow:el cuervo
